Piece,Rotation,Flip,Row,Col,Turn
Piece.RAILWAY_CORNER,Rotation.R180,False,0,2,1
Piece.RAILWAY_CORNER,Rotation.I,False,0,3,1
Piece.RAILWAY_CORNER,Rotation.I,False,1,2,1
Piece.STRAIGHT_STATION,Rotation.R180,False,0,1,1
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,0,2
Piece.STRAIGHT_STATION,Rotation.R270,False,5,0,2
Piece.RAILWAY_T,Rotation.I,False,1,1,2
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,1,2
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,6,3
Piece.CORNER_STATION,Rotation.R180,True,5,5,3
Piece.RAILWAY_T,Rotation.R180,False,1,0,3
Piece.HIGHWAY_T,Rotation.R270,False,6,5,3
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,3,4
Piece.OVERPASS,Rotation.R90,False,3,2,4
Piece.HIGHWAY_T,Rotation.R180,False,3,1,4
Piece.RAILWAY_CORNER,Rotation.R90,False,2,0,4
Piece.THREE_H_JUNCTION,Rotation.R270,False,5,1,5
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,4,4,5
Piece.HIGHWAY_CORNER,Rotation.R90,False,6,4,5
Piece.CORNER_STATION,Rotation.I,False,4,2,5
Piece.HIGHWAY_CORNER,Rotation.R270,False,3,4,5
Piece.STRAIGHT_STATION,Rotation.R90,False,1,6,6
Piece.RAILWAY_CORNER,Rotation.R270,False,6,3,6
Piece.RAILWAY_CORNER,Rotation.R270,False,2,2,6
Piece.HIGHWAY_JUNCTION,Rotation.I,False,4,1,6
Piece.RAILWAY_CORNER,Rotation.R270,False,5,2,6
