Piece,Rotation,Flip,Row,Col,Turn
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,3,3,1
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,6,1
Piece.STRAIGHT_STATION,Rotation.R270,False,3,5,1
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,3,4,1
Piece.OVERPASS,Rotation.I,False,4,4,2
Piece.RAILWAY_CORNER,Rotation.R180,False,3,2,2
Piece.RAILWAY_T,Rotation.I,False,4,2,2
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,4,3,2
Piece.RAILWAY_T,Rotation.R90,False,5,5,3
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,5,4,3
Piece.RAILWAY_CORNER,Rotation.R270,False,4,5,3
Piece.STRAIGHT_STATION,Rotation.I,False,6,5,3
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,6,4
Piece.STRAIGHT_STATION,Rotation.I,False,5,1,4
Piece.RAILWAY_CORNER,Rotation.R180,False,4,1,4
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,1,4
Piece.CROSS_JUNCTION,Rotation.I,False,1,1,5
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,0,0,5
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,0,5
Piece.OVERPASS,Rotation.I,False,0,1,5
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,6,6
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,2,6
Piece.THREE_H_JUNCTION,Rotation.R270,False,1,5,6
Piece.STRAIGHT_STATION,Rotation.R180,False,6,4,6
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,5,6
