Move,Piece,Rotation,Flip,Row,Col
0,Piece.RAILWAY_T,Rotation.R90,False,3,3
0,Piece.CORNER_STATION,Rotation.R90,False,0,4
0,Piece.CORNER_JUNCTION,Rotation.R90,False,3,5
0,Piece.RAILWAY_CORNER,Rotation.R90,False,4,3
0,Piece.RAILWAY_T,Rotation.R180,False,3,4
1,Piece.CORNER_STATION,Rotation.R270,True,1,3
1,Piece.CORNER_JUNCTION,Rotation.I,False,2,5
1,Piece.RAILWAY_CORNER,Rotation.R90,False,3,3
1,Piece.RAILWAY_T,Rotation.R90,False,2,3
1,Piece.RAILWAY_T,Rotation.I,False,3,4
2,Piece.RAILWAY_T,Rotation.R90,False,3,3
2,Piece.CORNER_STATION,Rotation.R90,True,2,6
2,Piece.CORNER_JUNCTION,Rotation.R90,False,3,5
2,Piece.RAILWAY_CORNER,Rotation.R90,False,4,3
2,Piece.RAILWAY_T,Rotation.R180,False,3,4
3,Piece.CORNER_STATION,Rotation.R270,True,1,3
3,Piece.RAILWAY_CORNER,Rotation.R180,False,2,2
3,Piece.RAILWAY_T,Rotation.R90,False,3,2
3,Piece.THREE_R_JUNCTION,Rotation.R180,False,2,3
3,Piece.RAILWAY_T,Rotation.I,False,2,4
4,Piece.CORNER_STATION,Rotation.R270,True,1,3
4,Piece.RAILWAY_T,Rotation.R90,False,3,3
4,Piece.CORNER_JUNCTION,Rotation.R180,False,1,4
4,Piece.RAILWAY_T,Rotation.R90,False,2,3
4,Piece.RAILWAY_CORNER,Rotation.I,False,3,4
5,Piece.RAILWAY_T,Rotation.R90,False,6,3
5,Piece.CORNER_STATION,Rotation.R90,False,0,4
5,Piece.RAILWAY_CORNER,Rotation.I,False,6,4
5,Piece.RAILWAY_T,Rotation.R270,False,5,4
5,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,3
6,Piece.RAILWAY_T,Rotation.R90,False,3,3
6,Piece.CORNER_STATION,Rotation.R90,True,4,5
6,Piece.CORNER_JUNCTION,Rotation.R90,False,3,5
6,Piece.RAILWAY_CORNER,Rotation.R90,False,4,3
6,Piece.RAILWAY_T,Rotation.R180,False,3,4
7,Piece.CORNER_JUNCTION,Rotation.I,False,2,5
7,Piece.RAILWAY_T,Rotation.R90,False,6,3
7,Piece.RAILWAY_CORNER,Rotation.I,False,6,4
7,Piece.RAILWAY_T,Rotation.R270,False,5,4
7,Piece.CORNER_STATION,Rotation.R90,True,3,5
8,Piece.RAILWAY_T,Rotation.R90,False,6,3
8,Piece.RAILWAY_CORNER,Rotation.I,False,6,4
8,Piece.CORNER_STATION,Rotation.R90,True,2,6
8,Piece.RAILWAY_T,Rotation.R270,False,5,4
8,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,3
9,Piece.CORNER_STATION,Rotation.R270,True,1,3
9,Piece.RAILWAY_T,Rotation.I,False,3,3
9,Piece.RAILWAY_CORNER,Rotation.R180,False,2,2
9,Piece.CORNER_JUNCTION,Rotation.R180,False,1,4
9,Piece.RAILWAY_T,Rotation.R270,False,2,3
10,Piece.CORNER_STATION,Rotation.R270,True,1,3
10,Piece.RAILWAY_T,Rotation.I,False,3,3
10,Piece.RAILWAY_CORNER,Rotation.R90,False,3,2
10,Piece.CORNER_JUNCTION,Rotation.R180,False,1,4
10,Piece.RAILWAY_T,Rotation.R270,False,2,3
11,Piece.CORNER_JUNCTION,Rotation.I,False,2,5
11,Piece.RAILWAY_T,Rotation.R270,False,4,4
11,Piece.RAILWAY_CORNER,Rotation.R90,False,4,3
11,Piece.RAILWAY_T,Rotation.R270,False,3,4
11,Piece.CORNER_STATION,Rotation.R180,False,2,4
12,Piece.CORNER_JUNCTION,Rotation.I,False,2,5
12,Piece.RAILWAY_T,Rotation.R90,False,6,3
12,Piece.RAILWAY_T,Rotation.R270,False,5,4
12,Piece.CORNER_STATION,Rotation.R90,True,3,5
12,Piece.RAILWAY_CORNER,Rotation.R180,False,5,3
13,Piece.RAILWAY_T,Rotation.R90,False,3,3
13,Piece.CORNER_STATION,Rotation.R180,False,6,3
13,Piece.CORNER_JUNCTION,Rotation.R90,False,3,5
13,Piece.RAILWAY_CORNER,Rotation.R90,False,4,3
13,Piece.RAILWAY_T,Rotation.R180,False,3,4
14,Piece.RAILWAY_T,Rotation.R90,False,3,3
14,Piece.CORNER_STATION,Rotation.R270,True,6,3
14,Piece.CORNER_JUNCTION,Rotation.R90,False,3,5
14,Piece.RAILWAY_CORNER,Rotation.R90,False,4,3
14,Piece.RAILWAY_T,Rotation.R180,False,3,4
15,Piece.CORNER_JUNCTION,Rotation.I,False,2,5
15,Piece.RAILWAY_T,Rotation.R270,False,4,4
15,Piece.RAILWAY_CORNER,Rotation.R90,False,4,3
15,Piece.RAILWAY_T,Rotation.R90,False,3,4
15,Piece.CORNER_STATION,Rotation.R180,False,2,4
