Move,Piece,Rotation,Flip,Row,Col
0,Piece.RAILWAY_T,Rotation.I,False,5,6
0,Piece.CORNER_STATION,Rotation.R180,False,3,3
0,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,5
0,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,1
0,Piece.RAILWAY_CORNER,Rotation.R270,False,4,6
1,Piece.RAILWAY_T,Rotation.I,False,5,6
1,Piece.CORNER_STATION,Rotation.R180,False,3,3
1,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,1
1,Piece.THREE_R_JUNCTION,Rotation.R270,False,4,5
1,Piece.RAILWAY_CORNER,Rotation.R270,False,4,6
2,Piece.CORNER_STATION,Rotation.R90,False,5,6
2,Piece.RAILWAY_CORNER,Rotation.R180,False,3,3
2,Piece.RAILWAY_T,Rotation.R270,False,5,5
2,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,1
2,Piece.THREE_R_JUNCTION,Rotation.R180,False,3,4
3,Piece.RAILWAY_T,Rotation.I,False,5,6
3,Piece.RAILWAY_CORNER,Rotation.R180,False,3,3
3,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,5
3,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,1
3,Piece.CORNER_STATION,Rotation.R270,False,3,4
4,Piece.RAILWAY_T,Rotation.I,False,5,6
4,Piece.CORNER_STATION,Rotation.R180,False,3,3
4,Piece.THREE_R_JUNCTION,Rotation.I,False,5,5
4,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,1
4,Piece.RAILWAY_CORNER,Rotation.R270,False,4,6
5,Piece.RAILWAY_CORNER,Rotation.R180,False,3,3
5,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,1
5,Piece.CORNER_STATION,Rotation.I,True,5,4
5,Piece.THREE_R_JUNCTION,Rotation.R270,False,4,5
5,Piece.RAILWAY_T,Rotation.R180,False,3,5
6,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,5
6,Piece.CORNER_STATION,Rotation.R180,False,4,4
6,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,1
6,Piece.RAILWAY_T,Rotation.I,False,5,4
6,Piece.RAILWAY_CORNER,Rotation.R180,False,3,5
7,Piece.CORNER_STATION,Rotation.R180,False,4,4
7,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,1
7,Piece.RAILWAY_T,Rotation.I,False,5,4
7,Piece.THREE_R_JUNCTION,Rotation.R270,False,4,5
7,Piece.RAILWAY_CORNER,Rotation.R180,False,3,5
8,Piece.RAILWAY_CORNER,Rotation.R180,False,3,3
8,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,1
8,Piece.CORNER_STATION,Rotation.I,True,5,4
8,Piece.CROSS_JUNCTION,Rotation.R90,False,4,5
8,Piece.RAILWAY_T,Rotation.R180,False,3,5
9,Piece.RAILWAY_T,Rotation.I,False,5,6
9,Piece.RAILWAY_CORNER,Rotation.R180,False,3,3
9,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,1
9,Piece.CROSS_JUNCTION,Rotation.I,False,5,4
9,Piece.CORNER_STATION,Rotation.R180,False,4,6
10,Piece.THREE_R_JUNCTION,Rotation.R180,False,5,6
10,Piece.CORNER_STATION,Rotation.R180,False,3,3
10,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,1
10,Piece.RAILWAY_T,Rotation.R90,False,4,5
10,Piece.RAILWAY_CORNER,Rotation.R270,False,4,6
11,Piece.CORNER_STATION,Rotation.R90,False,5,6
11,Piece.RAILWAY_CORNER,Rotation.R180,False,3,3
11,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,1
11,Piece.THREE_R_JUNCTION,Rotation.I,False,5,4
11,Piece.RAILWAY_T,Rotation.R180,False,3,5
12,Piece.RAILWAY_CORNER,Rotation.R180,False,3,3
12,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,1
12,Piece.CROSS_JUNCTION,Rotation.I,False,5,4
12,Piece.CORNER_STATION,Rotation.I,False,4,5
12,Piece.RAILWAY_T,Rotation.R180,False,3,5
13,Piece.RAILWAY_CORNER,Rotation.R180,False,3,3
13,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,5
13,Piece.CORNER_STATION,Rotation.R180,False,4,4
13,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,1
13,Piece.RAILWAY_T,Rotation.I,False,5,4
14,Piece.CORNER_STATION,Rotation.R180,False,3,3
14,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,5
14,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,1
14,Piece.RAILWAY_T,Rotation.I,False,5,4
14,Piece.RAILWAY_CORNER,Rotation.R270,False,4,5
15,Piece.RAILWAY_T,Rotation.I,False,5,6
15,Piece.CORNER_STATION,Rotation.R180,False,3,3
15,Piece.THREE_R_JUNCTION,Rotation.R270,False,4,5
15,Piece.RAILWAY_CORNER,Rotation.R180,False,3,5
15,Piece.HIGHWAY_CORNER,Rotation.R270,False,3,4
